Host_ID,CPU_Capability_ci_MIPS,Memory_Volume_mi_GB,Storage_TB,Bandwidth_Gbps,Static_Power_Pstatic_W,Max_Power_Pmax_W
H_1,2860,16,2,40,211,364
H_2,3294,128,4,40,249,394
H_3,3130,32,4,10,163,414
H_4,3095,32,1,40,244,438
H_5,3638,16,4,40,197,420
H_6,4169,128,1,20,164,358
H_7,2466,16,4,10,221,437
H_8,3238,16,4,20,227,478
H_9,2330,64,1,20,236,485
H_10,3482,64,1,20,211,412
H_11,4135,64,4,20,189,488
H_12,2130,32,2,20,234,430
H_13,3685,128,1,20,229,485
H_14,2769,128,2,20,231,382
H_15,4391,128,2,10,202,472
H_16,3515,128,2,40,173,354
H_17,4433,64,1,20,175,390
H_18,3215,32,2,20,238,377
H_19,2955,32,1,20,209,484
H_20,4324,64,2,20,190,421
